Time, Yaw, Pitch, Roll
sec, deg, deg, deg
65.555, 128.25, -1.01, -2.56
65.588, 128.26, -1.01, -2.57
65.623, 128.26, -1.02, -2.57
65.655, 128.26, -1.02, -2.57
65.689, 128.26, -1.02, -2.58
65.722, 128.27, -1.02, -2.58
65.755, 128.27, -1.02, -2.59
65.789, 128.27, -1.02, -2.59
65.821, 128.27, -1.03, -2.59
65.855, 128.27, -1.04, -2.6
65.889, 128.28, -1.04, -2.6
65.922, 128.29, -1.04, -2.6
65.955, 128.3, -1.03, -2.59
65.988, 128.3, -1.03, -2.59
66.022, 128.31, -1.03, -2.58
66.055, 128.31, -1.03, -2.59
66.088, 128.32, -1.03, -2.59
66.122, 128.32, -1.04, -2.59
66.155, 128.33, -1.03, -2.59
66.188, 128.33, -1.03, -2.59
66.222, 128.33, -1.04, -2.6
66.255, 128.33, -1.04, -2.61
66.289, 128.34, -1.04, -2.61
66.322, 128.34, -1.04, -2.6
66.356, 128.34, -1.04, -2.61
66.388, 128.34, -1.04, -2.61
66.421, 128.35, -1.04, -2.61
66.455, 128.35, -1.04, -2.61
66.488, 128.35, -1.05, -2.61
66.522, 128.35, -1.05, -2.61
66.555, 128.35, -1.06, -2.62
66.589, 128.35, -1.06, -2.62
66.622, 128.36, -1.06, -2.62
66.656, 128.36, -1.07, -2.62
66.688, 128.36, -1.07, -2.62
66.722, 128.36, -1.08, -2.63
66.756, 128.36, -1.08, -2.63
66.788, 128.37, -1.08, -2.63
66.822, 128.37, -1.09, -2.63
66.855, 128.37, -1.1, -2.63
66.889, 128.37, -1.1, -2.64
66.921, 128.37, -1.11, -2.65
66.955, 128.36, -1.12, -2.65
66.988, 128.36, -1.12, -2.65
67.023, 128.36, -1.13, -2.66
67.055, 128.36, -1.13, -2.66
67.089, 128.36, -1.13, -2.67
67.122, 128.36, -1.14, -2.66
67.156, 128.37, -1.14, -2.67
67.188, 128.38, -1.14, -2.66
67.222, 128.38, -1.14, -2.67
67.254, 128.37, -1.15, -2.68
67.288, 128.38, -1.15, -2.67
67.322, 128.38, -1.16, -2.67
67.354, 128.38, -1.17, -2.67
67.389, 128.38, -1.17, -2.68
67.422, 128.38, -1.17, -2.68
67.455, 128.37, -1.18, -2.69
67.489, 128.37, -1.18, -2.69
67.522, 128.37, -1.18, -2.7
67.555, 128.38, -1.17, -2.69
67.588, 128.38, -1.18, -2.69
67.622, 128.38, -1.19, -2.69
67.655, 128.38, -1.19, -2.69
67.689, 128.38, -1.19, -2.69
67.721, 128.38, -1.2, -2.69
67.756, 128.39, -1.19, -2.69
67.788, 128.4, -1.18, -2.68
67.821, 128.41, -1.18, -2.67
67.855, 128.41, -1.18, -2.68
67.888, 128.41, -1.18, -2.67
67.922, 128.41, -1.18, -2.67
67.955, 128.42, -1.18, -2.67
67.989, 128.42, -1.19, -2.68
68.021, 128.42, -1.19, -2.67
68.055, 128.42, -1.19, -2.68
68.089, 128.42, -1.2, -2.68
68.121, 128.42, -1.21, -2.69
68.155, 128.42, -1.21, -2.69
68.188, 128.42, -1.21, -2.69
68.221, 128.42, -1.2, -2.68
68.255, 128.42, -1.2, -2.68
68.288, 128.43, -1.2, -2.67
68.322, 128.43, -1.2, -2.67
68.355, 128.45, -1.19, -2.67
68.388, 128.45, -1.19, -2.67
68.421, 128.45, -1.19, -2.67
68.454, 128.46, -1.19, -2.67
68.489, 128.46, -1.19, -2.67
68.521, 128.47, -1.2, -2.67
68.556, 128.43, -1.23, -2.68
68.588, 128.43, -1.23, -2.69
68.622, 128.43, -1.24, -2.69
68.654, 128.44, -1.23, -2.68
68.688, 128.45, -1.23, -2.68
68.722, 128.45, -1.22, -2.67
68.755, 128.46, -1.22, -2.67
68.789, 128.47, -1.22, -2.67
68.821, 128.48, -1.21, -2.67
68.855, 128.48, -1.21, -2.67
68.888, 128.49, -1.2, -2.66
68.922, 128.49, -1.2, -2.65
68.955, 128.5, -1.19, -2.66
68.989, 128.51, -1.19, -2.65
69.021, 128.52, -1.18, -2.64
69.055, 128.52, -1.18, -2.64
69.088, 128.53, -1.18, -2.65
69.121, 128.53, -1.17, -2.64
69.155, 128.54, -1.17, -2.63
